"pitcher","pit_kpct","pit_fbpct","pit_1Bpct","pit_2Bpct","pit_3Bpct","pit_HRpct","pit_ipoutpct","pit_pa"
"canng001",0.175913396481732,0.0974289580514208,0.151556156968877,0.0378890392422192,0.0040595399188092,0.0419485791610284,0.491204330175913,739
"crawk001",0.230566534914361,0.0790513833992095,0.117259552042161,0.0395256916996047,0.00263504611330698,0.0447957839262187,0.486166007905138,759
"suarj001",0.233333333333333,0.129166666666667,0.120833333333333,0.0708333333333333,0.0166666666666667,0.0291666666666667,0.4,240
"weisg001",0.220532319391635,0.0760456273764259,0.186311787072243,0.0342205323193916,0,0.026615969581749,0.456273764258555,263
"garcl005",0.208661417322835,0.0708661417322835,0.15748031496063,0.0511811023622047,0,0.031496062992126,0.480314960629921,254
"wincj001",0.178571428571429,0.0892857142857143,0.166666666666667,0.0446428571428571,0,0.0297619047619048,0.491071428571429,336
"sorij002",0.207264957264957,0.115384615384615,0.138888888888889,0.0363247863247863,0.00213675213675214,0.0170940170940171,0.482905982905983,468
"martc007",0.277777777777778,0.0333333333333333,0.216666666666667,0.0166666666666667,0,0.0277777777777778,0.427777777777778,180
"campi001",0.162162162162162,0.0540540540540541,0.216216216216216,0.0810810810810811,0,0.0810810810810811,0.405405405405405,37
"jansk001",0.284403669724771,0.0963302752293578,0.114678899082569,0.0412844036697248,0,0.018348623853211,0.444954128440367,218
"detmr001",0.278772378516624,0.10230179028133,0.145780051150895,0.051150895140665,0.00767263427109974,0.0460358056265985,0.368286445012788,391
"whitg002",0.226666666666667,0.106666666666667,0.12,0.0533333333333333,0,0.0133333333333333,0.48,75
"cimba001",0.177570093457944,0.186915887850467,0.149532710280374,0.0280373831775701,0,0.00934579439252336,0.448598130841121,107
"slatj002",0.258928571428571,0.0491071428571429,0.160714285714286,0.0267857142857143,0.00446428571428571,0.0178571428571429,0.482142857142857,224
"moorm003",0.195238095238095,0.133333333333333,0.104761904761905,0.0285714285714286,0,0.0523809523809524,0.485714285714286,210
"estec001",0.235849056603774,0.0613207547169811,0.122641509433962,0.0235849056603774,0.00943396226415094,0.0235849056603774,0.523584905660377,212
"silsc001",0.315789473684211,0.105263157894737,0.105263157894737,0.0263157894736842,0,0.0789473684210526,0.368421052631579,38
"houct001",0.207267833109018,0.0861372812920592,0.158815612382234,0.0363391655450875,0,0.0148048452220727,0.496635262449529,743
"cisnj001",0.22972972972973,0.135135135135135,0.162162162162162,0.027027027027027,0,0.0540540540540541,0.391891891891892,74
"andec001",0.164705882352941,0.0980392156862745,0.125490196078431,0.0431372549019608,0,0.0470588235294118,0.52156862745098,255
"zunig001",0.157894736842105,0.118421052631579,0.118421052631579,0.0131578947368421,0.0131578947368421,0.0657894736842105,0.513157894736842,76
"sanom001",0,0,0,0,0,0,1,1
"andet002",0.18562091503268,0.104575163398693,0.129411764705882,0.0418300653594771,0.00392156862745098,0.0313725490196078,0.503267973856209,765
"efliz001",0.195906432748538,0.0394736842105263,0.166666666666667,0.0409356725146199,0.00292397660818713,0.0321637426900585,0.521929824561403,684
"waguj001",0.215686274509804,0.196078431372549,0.196078431372549,0.0392156862745098,0,0.0196078431372549,0.333333333333333,51
"strih001",0.193877551020408,0.0884353741496599,0.112244897959184,0.0408163265306122,0.00340136054421769,0.0340136054421769,0.527210884353742,294
"sandp002",0.229461756373938,0.107648725212465,0.172804532577904,0.0453257790368272,0,0.0226628895184136,0.422096317280453,353
"civaa001",0.216255442670537,0.0841799709724238,0.142235123367199,0.0449927431059507,0,0.0420899854862119,0.470246734397678,689
"matop002",0.226415094339623,0.124528301886792,0.113207547169811,0.030188679245283,0.00754716981132075,0.0264150943396226,0.471698113207547,265
"pochc001",0.215686274509804,0.0849673202614379,0.130718954248366,0.0196078431372549,0,0.0457516339869281,0.503267973856209,153
"adamj002",0.287234042553192,0.102836879432624,0.0921985815602837,0.0283687943262411,0.00354609929078014,0.0177304964539007,0.468085106382979,282
"fulmc001",0.213720316622691,0.118733509234828,0.121372031662269,0.0633245382585752,0,0.029023746701847,0.453825857519789,379
"fairp001",0.237837837837838,0.0918918918918919,0.151351351351351,0.0216216216216216,0,0.0216216216216216,0.475675675675676,185
"littz001",0.214939024390244,0.0548780487804878,0.169207317073171,0.0442073170731707,0.00304878048780488,0.0335365853658537,0.480182926829268,656
"kellk004",0.226618705035971,0.0503597122302158,0.151079136690647,0.0287769784172662,0.00719424460431655,0.0251798561151079,0.510791366906475,278
"suara001",0.191150442477876,0.0814159292035398,0.138053097345133,0.0601769911504425,0.00176991150442478,0.0300884955752212,0.497345132743363,565
"baumm001",0.21969696969697,0.121212121212121,0.136363636363636,0.0378787878787879,0.0151515151515152,0.0340909090909091,0.435606060606061,264
"canoy001",0.261044176706827,0.100401606425703,0.152610441767068,0.036144578313253,0.00401606425702811,0.0240963855421687,0.421686746987952,249
"webbj002",0.244725738396624,0.118143459915612,0.105485232067511,0.0464135021097046,0,0.0168776371308017,0.468354430379747,237
"kimbc001",0.314655172413793,0.155172413793103,0.107758620689655,0.0301724137931034,0.00431034482758621,0.0301724137931034,0.357758620689655,232
"rodrg003",0.264765784114053,0.0835030549898167,0.138492871690428,0.0488798370672098,0.00407331975560081,0.0305498981670061,0.429735234215886,491
"tated001",0.164634146341463,0.0975609756097561,0.195121951219512,0.0487804878048781,0,0.0121951219512195,0.481707317073171,164
"akink001",0.309904153354633,0.0670926517571885,0.0990415335463259,0.0415335463258786,0.00638977635782748,0.0287539936102236,0.447284345047923,313
"ramiy002",0.216346153846154,0.139423076923077,0.163461538461538,0.0432692307692308,0.00961538461538462,0.0192307692307692,0.408653846153846,208
"kremd001",0.222423146473779,0.0976491862567812,0.132007233273056,0.0343580470162749,0,0.0325497287522604,0.481012658227848,553
"could001",0.299065420560748,0.0467289719626168,0.0841121495327103,0.0280373831775701,0,0.0280373831775701,0.514018691588785,107
"oberb002",0.269393511988717,0.0691114245416079,0.105782792665726,0.0409026798307475,0.00705218617771509,0.0380818053596615,0.469675599435825,709
"bowmm001",0.181818181818182,0.113636363636364,0.106060606060606,0.053030303030303,0,0.0378787878787879,0.507575757575758,132
"thiec001",0.24537037037037,0.111111111111111,0.162037037037037,0.0416666666666667,0,0.0277777777777778,0.412037037037037,216
"paddc001",0.205729166666667,0.0572916666666667,0.1875,0.0416666666666667,0,0.0364583333333333,0.471354166666667,384
"fundk001",0.198757763975155,0.124223602484472,0.161490683229814,0.062111801242236,0.0062111801242236,0.0248447204968944,0.422360248447205,161
"jackj001",0.254385964912281,0.0789473684210526,0.140350877192982,0.0350877192982456,0.0087719298245614,0.0614035087719298,0.421052631578947,114
"hicka001",0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.5,6
"lopep002",0.256476683937824,0.0634715025906736,0.156735751295337,0.0427461139896373,0,0.0336787564766839,0.446891191709845,772
"sandc001",0.291095890410959,0.0616438356164384,0.147260273972603,0.0342465753424658,0,0.0205479452054795,0.445205479452055,292
"jax-g001",0.344202898550725,0.0615942028985507,0.119565217391304,0.0253623188405797,0.0108695652173913,0.0144927536231884,0.423913043478261,276
"krisz001",0.181818181818182,0.181818181818182,0.0909090909090909,0.181818181818182,0,0,0.363636363636364,11
"okers001",0.20625,0.11875,0.14375,0.04375,0.00625,0.0375,0.44375,160
"sancc002",0.202917771883289,0.0583554376657825,0.179045092838196,0.0450928381962865,0.0026525198938992,0.0145888594164456,0.497347480106101,754
"kerko001",0.287937743190661,0.0972762645914397,0.143968871595331,0.0466926070038911,0,0.00778210116731518,0.416342412451362,257
"domis001",0.266666666666667,0.0901960784313725,0.12156862745098,0.0313725490196078,0.00392156862745098,0.0470588235294118,0.43921568627451,255
"sotog003",0.266393442622951,0.14344262295082,0.163934426229508,0.040983606557377,0.00819672131147541,0.0163934426229508,0.360655737704918,244
"turns003",0.261261261261261,0.112612612612613,0.0990990990990991,0.0405405405405405,0,0.027027027027027,0.459459459459459,222
"marty001",0.181102362204724,0.118110236220472,0.181102362204724,0.047244094488189,0,0.0393700787401575,0.433070866141732,127
"stram001",0.333333333333333,0.0717299578059072,0.0843881856540084,0.0506329113924051,0,0.0168776371308017,0.443037974683544,237
"alvaj004",0.244186046511628,0.112403100775194,0.127906976744186,0.0310077519379845,0.00775193798449612,0.0232558139534884,0.453488372093023,258
"garra001",0.458333333333333,0.208333333333333,0.0833333333333333,0.0416666666666667,0,0.0416666666666667,0.166666666666667,24
"hoffj003",0.335849056603774,0.0716981132075472,0.116981132075472,0.0339622641509434,0.00754716981132075,0.0226415094339623,0.411320754716981,265
"wheez001",0.284625158831004,0.0762388818297332,0.109275730622618,0.0355781448538755,0.00635324015247776,0.0254129606099111,0.462515883100381,787
"wachm001",0.211678832116788,0.072992700729927,0.151824817518248,0.0423357664233577,0.00583941605839416,0.0248175182481752,0.490510948905109,685
"lyncd001",0.224137931034483,0.103448275862069,0.0977011494252874,0.0344827586206897,0,0.0344827586206897,0.505747126436782,174
"sauem001",0.107142857142857,0.142857142857143,0.178571428571429,0.0476190476190476,0.0119047619047619,0.0357142857142857,0.476190476190476,84
"marsa001",0.224452554744526,0.0912408759124088,0.133211678832117,0.0510948905109489,0.00547445255474453,0.0346715328467153,0.45985401459854,548
"strac001",0.171206225680934,0.140077821011673,0.1284046692607,0.0505836575875486,0.00778210116731518,0.0194552529182879,0.482490272373541,257
"smitw002",0.155913978494624,0.0967741935483871,0.145161290322581,0.0591397849462366,0,0.0376344086021505,0.505376344086022,186
"dufft001",0.238095238095238,0.214285714285714,0.0952380952380952,0.0714285714285714,0,0,0.380952380952381,42
"schrj001",0.205357142857143,0.107142857142857,0.160714285714286,0.0446428571428571,0.00446428571428571,0.00446428571428571,0.473214285714286,224
"ragac001",0.292650918635171,0.0958005249343832,0.125984251968504,0.041994750656168,0.00393700787401575,0.0196850393700787,0.41994750656168,762
"anden001",0.189542483660131,0.104575163398693,0.117647058823529,0.0718954248366013,0,0.0392156862745098,0.477124183006536,153
"lugos001",0.216507177033493,0.0681818181818182,0.142344497607655,0.0430622009569378,0.00717703349282297,0.0191387559808612,0.503588516746411,836
"mcarj001",0.198380566801619,0.0688259109311741,0.198380566801619,0.0404858299595142,0.00404858299595142,0.0323886639676113,0.45748987854251,247
"libem001",0.212290502793296,0.0837988826815642,0.139664804469274,0.0558659217877095,0,0.0307262569832402,0.477653631284916,358
"leahk001",0.172774869109948,0.0575916230366492,0.130890052356021,0.0575916230366492,0,0.0209424083769634,0.56020942408377,191
"kingj002",0.153225806451613,0.0604838709677419,0.189516129032258,0.0241935483870968,0,0.0201612903225806,0.55241935483871,248
